feature_set,n_features,k,n_skus,valid,error,silhouette,calinski_harabasz,min_cluster_size,max_cluster_size,cluster_sizes,stability_ari_mean,stability_ari_median,stability_ari_p10,stability_ari_p90,cluster_jaccard_medians,sensitivity_pareto,confirmatory_eligible,confirmatory_pareto
ADI+CV2+std_sales+acf1,4,3,197,True,,0.2579780327079268,103.65709823411648,54,75,1:54;2:68;3:75,0.5649172076358113,0.5627997283361941,0.3686530172298569,0.779075144333657,"{""1"": 0.8769230769230769, ""2"": 0.5231663685152057, ""3"": 0.5682665424044735}",False,True,False
ADI+CV2+std_sales+acf1,4,4,197,True,,0.2070788451427203,86.29856884569308,17,68,1:54;2:68;3:58;4:17,0.4895457134142948,0.4626357315178437,0.34035485301319524,0.6410422359238521,"{""1"": 0.45454545454545453, ""2"": 0.7049180327868853, ""3"": 0.5547008547008547, ""4"": 0.0}",False,True,False
ADI+CV2+std_sales+acf1,4,5,197,True,,0.21633428235951166,81.10412472054452,11,58,1:54;2:57;3:11;4:58;5:17,0.5238333676354757,0.5188452279788134,0.3733340229737805,0.6837022883284315,"{""1"": 0.5779352226720648, ""2"": 0.7586618876941458, ""3"": 0.4166666666666667, ""4"": 0.7619047619047619, ""5"": 0.34782608695652173}",False,True,False
ADI+CV2+std_sales+acf1,4,6,197,True,,0.22242404297351664,78.53135587598864,11,58,1:42;2:57;3:11;4:58;5:12;6:17,0.5769686477057427,0.5815723722843393,0.44404565609303936,0.7038043647644898,"{""1"": 0.4504901960784314, ""2"": 0.7911821705426356, ""3"": 0.7647058823529411, ""4"": 0.8235294117647058, ""5"": 0.36363636363636365, ""6"": 0.5}",False,True,False
ADI+CV2+nonzero_mean+acf1,4,2,197,True,,0.36919163069361133,146.19669862567136,77,120,1:120;2:77,0.8375218757521133,0.8756780095874471,0.6309791201417967,0.974490427059972,"{""1"": 0.9497474747474748, ""2"": 0.921875}",False,True,False
ADI+CV2+nonzero_mean+acf1,4,3,197,True,,0.28536716790041866,101.04905705402298,29,91,1:91;2:29;3:77,0.6865463759013642,0.6604563776421359,0.47131004744976124,0.9320929364480287,"{""1"": 0.9212549603174602, ""2"": 0.7310620479634564, ""3"": 0.5300120048019208}",False,True,False
ADI+CV2+nonzero_mean+acf1,4,4,197,True,,0.2367811976102018,84.38485684607433,15,91,1:91;2:29;3:62;4:15,0.5932589137457881,0.5804473577147823,0.43414256614902685,0.7996262383942844,"{""1"": 0.6447026183457604, ""2"": 0.7580645161290323, ""3"": 0.7537878787878788, ""4"": 0.0}",False,True,False
ADI+CV2+nonzero_mean+acf1,4,5,197,True,,0.2134824853051829,78.06675872348067,15,62,1:44;2:47;3:29;4:62;5:15,0.5757620977076868,0.5841366056661508,0.433959054930808,0.6985349193945602,"{""1"": 0.44680851063829785, ""2"": 0.4100462379150904, ""3"": 0.8333333333333334, ""4"": 0.8461538461538461, ""5"": 0.8380102040816326}",False,True,False
ADI+CV2+nonzero_mean+acf1,4,6,197,True,,0.2185016497299087,74.03106999527701,15,62,1:17;2:27;3:47;4:29;5:62;6:15,0.612998504289842,0.6174533544809797,0.44553380315816865,0.7843265729827679,"{""1"": 0.4166666666666667, ""2"": 0.8439824205544286, ""3"": 0.8366666666666667, ""4"": 0.9090909090909091, ""5"": 0.5086206896551724, ""6"": 0.5625}",False,True,False
ADI+CV2+mean_sales+median_sales+std_sales,5,2,197,True,,0.34677583352253705,126.13897552173822,55,142,1:142;2:55,0.43726521377236965,0.40847662003329566,0.23560254674310738,0.8483940217685388,"{""1"": 0.7477477477477478, ""2"": 0.6052631578947368}",False,False,False
ADI+CV2+mean_sales+median_sales+std_sales,5,3,197,True,,0.43126532652469773,199.43206764114183,28,114,1:28;2:114;3:55,0.5493150716331205,0.5005108243790289,0.36783565157950143,0.8905697877097347,"{""1"": 0.6972729400749064, ""2"": 0.6111111111111112, ""3"": 1.0}",False,False,False
ADI+CV2+mean_sales+median_sales+std_sales,5,4,197,True,,0.37235825902066966,203.53288396424867,28,83,1:28;2:31;3:83;4:55,0.5527253322944502,0.5421076558498532,0.4142648032776936,0.6872024614149286,"{""1"": 0.4722222222222222, ""2"": 0.8541666666666666, ""3"": 1.0, ""4"": 0.44337606837606836}",False,False,False
ADI+CV2+mean_sales+median_sales+std_sales,5,5,197,True,,0.3238876447197779,186.23777259955173,28,55,1:28;2:31;3:50;4:33;5:55,0.6273642866554379,0.6205435193123471,0.49285178212963715,0.7700578414343164,"{""1"": 0.47580015612802495, ""2"": 0.851063829787234, ""3"": 1.0, ""4"": 0.5763403263403264, ""5"": 0.5652173913043478}",False,False,False
ADI+CV2+mean_sales+median_sales+std_sales,5,6,197,True,,0.32561752658288484,173.62479793251768,19,55,1:28;2:31;3:31;4:19;5:33;6:55,0.6463853870085929,0.6464377058576658,0.4969852642144266,0.7903092849269719,"{""1"": 0.8333333333333334, ""2"": 0.6086956521739131, ""3"": 1.0, ""4"": 0.64, ""5"": 0.564659977703456, ""6"": 0.510657596371882}",False,False,False
ADI+CV2+mean_sales+median_sales+acf1,5,2,197,True,,0.3273025135411349,116.47800474751206,98,99,1:99;2:98,0.5221561985018072,0.6942701824938293,0.06413614661405981,0.852037728503658,"{""1"": 0.8531026557711952, ""2"": 0.8395061728395061}",False,False,False
ADI+CV2+mean_sales+median_sales+acf1,5,3,197,True,,0.3713322459350146,141.39494016877026,28,98,1:28;2:71;3:98,0.694887116418817,0.7474628107542551,0.4340511436993531,0.868742771982346,"{""1"": 0.8544608472400513, ""2"": 0.8194444444444444, ""3"": 1.0}",False,False,False
