sku,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance
JZJ0003,135,79,56,1191.0,8.822222222222223,7.0,9.400592762087237,15.075949367088608,0.24782839656990235,1.7088607594936709,0.4148148148148148,0.5088635871390663,0.0,0.7907765255966074,False
JZJ0004,104,15,89,25.0,0.2403846153846154,0.0,0.6754386177610497,1.6666666666666667,0.2914285714285713,6.933333333333334,0.8557692307692307,0.2877258633923616,0.22115384615384615,0.4033926354985517,False
JZJ0005,104,21,83,60.0,0.5769230769230769,0.0,1.4594340417369782,2.857142857142857,0.5057499999999998,4.9523809523809526,0.7980769230769231,0.1868590024323944,0.18269230769230768,0.5526105841680702,False
JZJ0008,104,34,70,214.0,2.0576923076923075,0.0,3.568543590978952,6.294117647058823,0.309837831542784,3.0588235294117645,0.6730769230769231,0.28579421980285136,0.04807692307692308,0.752175850289618,False
JZJ0009,135,74,61,1495.0,11.074074074074074,4.0,12.958388990084865,20.2027027027027,0.29716367672636423,1.8243243243243243,0.45185185185185184,0.4652814758726538,0.0,0.85127681012034,False
JZJ0013,135,86,49,1345.0,9.962962962962964,9.0,10.641658079346588,15.63953488372093,0.3626558667855694,1.569767441860465,0.362962962962963,0.5341827223735687,0.0,0.8223600261146271,False
JZJ0014,135,10,125,16.0,0.11851851851851852,0.0,0.5865641399933572,1.6,0.9722222222222222,13.5,0.9259259259259259,0.3087369608772301,0.07407407407407407,-0.0197538860103628,False
JZJ0016,135,69,66,194.0,1.4370370370370371,1.0,2.017118557432216,2.8115942028985508,0.5181912811888493,1.9565217391304348,0.4888888888888889,0.5462132064543126,0.0,0.391829706621994,False
JZJ0017,135,16,119,23.0,0.17037037037037037,0.0,0.52604892713739,1.4375,0.25608065532451163,8.4375,0.8814814814814815,0.31363981618105774,0.007407407407407408,0.3252769385699898,False
JZJ0018,135,21,114,47.0,0.34814814814814815,0.0,0.9873718962328358,2.238095238095238,0.4173381620642826,6.428571428571429,0.8444444444444444,0.3403911490595628,0.007407407407407408,0.5862542169363598,False
JZJ0019,135,44,91,196.0,1.451851851851852,0.0,2.5058692849809074,4.454545454545454,0.2964075046250109,3.0681818181818183,0.674074074074074,0.40663732929807983,0.0,0.7780531104489968,False
JZQCQ001,104,31,73,523.0,5.028846153846154,0.0,10.462560835581197,16.870967741935484,0.595099118070357,3.3548387096774195,0.7019230769230769,0.2266636946420466,0.28846153846153844,0.7532308149058502,False
JZQCQ003,104,37,67,506.0,4.865384615384615,0.0,13.218887408426404,13.675675675675675,2.011046189685131,2.810810810810811,0.6442307692307693,0.22134120649973232,0.22115384615384615,0.6184534046616927,False
JZQCQ004,104,19,85,59.0,0.5673076923076923,0.0,1.8209376816158767,3.1052631578947367,1.104982603977146,5.473684210526316,0.8173076923076923,0.37834998416634025,0.21153846153846154,0.5427953562485759,False
KFYFQ51mm,30,24,6,126.0,4.2,4.0,3.7453419345764085,5.25,0.4330079858030168,1.25,0.2,0.6033074094345334,0.0,0.18718295245099498,False
KFYFQ54mm,30,18,12,140.0,4.666666666666667,4.0,4.6559811983662724,7.777777777777778,0.18777911164465794,1.6666666666666667,0.4,0.5150864597409621,0.0,0.6068575406844712,False
KFYFQ58mm,30,26,4,215.0,7.166666666666667,6.5,5.965899263563583,8.26923076923077,0.46511454840454275,1.1538461538461537,0.13333333333333333,0.579950440137667,0.0,0.6226171384904162,False
KFZ0001,104,6,98,6.0,0.057692307692307696,0.0,0.23428979967449726,1.0,0.0,17.333333333333332,0.9423076923076923,0.21891995083626054,0.17307692307692307,-0.06185567010309275,False
KZCWBG001,135,31,104,69.0,0.5111111111111111,0.0,1.2085927839487274,2.225806451612903,0.5208989708044528,4.354838709677419,0.7703703703703704,0.39130676307218293,0.0,0.6864368010525017,False
LRKF0001,104,10,94,63.0,0.6057692307692307,0.0,2.124376638350256,6.3,0.29702415945802196,10.4,0.9038461538461539,0.08562098217771708,0.5384615384615384,0.7265677257525079,False
LTKF0002,104,6,98,8.0,0.07692307692307693,0.0,0.3324608946215728,1.3333333333333333,0.15000000000000005,17.333333333333332,0.9423076923076923,0.07584295412868536,0.5576923076923077,0.7363481228668952,False
LTKF0003B,104,1,103,1.0,0.009615384615384616,0.0,0.09805806756909202,1.0,,104.0,0.9903846153846154,0.05578108497051587,0.5673076923076923,-0.009803921568627498,False
