horizon_weeks,sku,origin,full_cluster,calendar_group,dynamic_cluster,tail_rank,actual_sum,mase_52_model,forecast_sum_model,mase_52_ma4,forecast_sum_ma4,method,metric,cohort,delta,ae_model,ae_ma4
4,FRH0004,2025-12-01,1,only_2024_2025,1,1,0.0,0.9230769230769232,0.0769230769230769,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.9230769230769232,,
4,JZQCQ004,2025-12-01,1,only_2024_2025,1,1,0.0,0.6892307692307693,4.307692307692308,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.6892307692307693,,
4,FRH0040,2025-12-01,1,only_2024_2025,1,1,0.0,1.476923076923077,1.8461538461538465,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.476923076923077,,
4,WSJZS0004,2025-12-01,1,only_2024_2025,1,1,0.0,0.7410617551462623,8.76923076923077,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.7410617551462623,,
4,ZJJSJSV001AMDE,2025-12-01,1,only_2024_2025,1,1,0.0,1.2307692307692308,0.3076923076923077,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.2307692307692308,,
4,WSJZS0002,2025-12-01,1,only_2024_2025,1,1,0.0,0.650887573964497,4.230769230769231,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.650887573964497,,
4,QCCXC0005,2025-12-01,1,only_2024_2025,1,1,0.0,1.2214452214452214,10.076923076923077,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.2214452214452214,,
4,QCSSXC0005,2025-12-01,1,only_2024_2025,1,1,0.0,1.0610079575596818,7.6923076923076925,0.0,0.0,BlockFrequencyMean,mase_52,active120,1.0610079575596818,,
4,YKLLW0005,2025-12-01,1,only_2024_2025,1,1,1.0,0.3956043956043956,4.6923076923076925,0.1071428571428571,0.0,BlockFrequencyMean,mase_52,active120,0.2884615384615385,,
4,FRH0045,2025-12-01,1,only_2024_2025,1,1,0.0,0.519893899204244,3.769230769230769,0.0,0.0,BlockFrequencyMean,mase_52,active120,0.519893899204244,,
